Strategy,TokenAddress,AlertTime,EntryTime,ExitTime,EntryPrice,PnL,PnLPercent,MaxReached,MaxGainPercent,TokenMaxDrawdownPercent,HoldDurationHours
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,AXAEjYZYMitWgXw6xy5zfCeQ2UvsViShmMgxL1Bfpump,2025-08-07T07:37:18.000Z,2025-08-08T03:00:00.000+10:00,2025-08-08T05:00:00.000+10:00,0.00001519,1.0215,2.15,1.1382,13.82,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,8DWHinfJAHKJoUBrgx4PHdp1dDDLbh485FqXxgg4pump,2025-08-07T07:49:31.000Z,2025-08-08T00:00:00.000+10:00,2025-08-08T02:00:00.000+10:00,0.00000549,0.9758,-2.42,1.0004,0.04,2.42,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,4Z5b1Y8FrarrXeQxUpBenipQLyEWtfpdrStEGQwXbonk,2025-08-07T09:04:27.000Z,2025-08-08T23:00:00.000+10:00,2025-08-09T01:00:00.000+10:00,0.00004310,0.9589,-4.11,1.0000,0.00,4.11,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,G2ajLzpiW6tPvRqdjz6QfFKyArrh7zh66Zi1rmoppump,2025-08-07T09:04:46.000Z,2025-08-08T02:00:00.000+10:00,2025-08-08T04:00:00.000+10:00,0.00077837,1.1852,18.52,1.1003,10.03,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,HDbQ3c7ynSZKfg1UXhx2nNBwL3Phf9kNEbFEyZFrpump,2025-08-07T13:02:57.000Z,2025-08-09T19:00:00.000+10:00,2025-08-09T21:00:00.000+10:00,0.00000408,1.0114,1.14,1.0263,2.63,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,HDbQ3c7ynSZKfg1UXhx2nNBwL3Phf9kNEbFEyZFrpump,2025-08-07T13:04:59.000Z,2025-08-09T19:00:00.000+10:00,2025-08-09T21:00:00.000+10:00,0.00000408,1.0114,1.14,1.0263,2.63,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,45peQFd9KD5pb8inMDN4RFGXdsyQEZY3qFDgvrgpBAGS,2025-08-07T23:20:04.000Z,2025-08-08T17:00:00.000+10:00,2025-08-08T18:00:00.000+10:00,0.00070337,1.2573,25.73,1.3970,39.70,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,2kBaWJjNf2XiEWjg4qhWtTXoVN5EvJAvZPv8vyWB8A4M,2025-08-07T23:48:45.000Z,2025-08-08T20:00:00.000+10:00,2025-08-08T22:00:00.000+10:00,0.00018859,0.8536,-14.64,1.2539,25.39,14.64,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,Apy5m5hs6d4WELhH7cx94gSMQhA8L57ao8pWU1F1SJ7E,2025-08-08T10:23:01.000Z,2025-08-11T07:00:00.000+10:00,2025-08-12T02:00:00.000+10:00,0.00000383,1.0181,1.81,1.0188,1.88,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,6NPE165SHwcNcrWYZauv4Rdj4SnjFC2zrgCsGQdZbonk,2025-08-08T12:35:00.000Z,2025-08-12T10:00:00.000+10:00,2025-08-12T12:00:00.000+10:00,0.00004171,1.3682,36.82,1.5202,52.02,0.00,0.00
